id,text,filename
1,hbrp,captcha_hbrp.png
2,oig8,captcha_oig8.png
3,f1cb,captcha_f1cb.png
4,fno6,captcha_fno6.png
5,b9m8,captcha_b9m8.png
6,0o2r,captcha_0o2r.png
7,ak1v,captcha_ak1v.png
8,rjnv,captcha_rjnv.png
9,gfyg,captcha_gfyg.png
10,wwqc,captcha_wwqc.png
11,38hy,captcha_38hy.png
12,f9sx,captcha_f9sx.png
13,meco,captcha_meco.png
14,sfog,captcha_sfog.png
15,yr3x,captcha_yr3x.png
16,kxwn,captcha_kxwn.png
17,rek8,captcha_rek8.png
18,pk3y,captcha_pk3y.png
19,r9ou,captcha_r9ou.png
20,docu,captcha_docu.png
