segment file,predicted label,Metric
captcha_0j2m_char0.png,0,0.6235921
captcha_0j2m_char1.png,1,0.579707
captcha_0j2m_char2.png,2,0.71713686
captcha_0j2m_char3.png,m,0.7264887
captcha_2reh_char0.png,2,0.7377283
captcha_2reh_char1.png,r,0.6104601
captcha_2reh_char2.png,e,0.77817863
captcha_2reh_char3.png,h,0.6809276
captcha_3s5x_char0.png,3,0.67622584
captcha_3s5x_char1.png,s,0.69762087
captcha_3s5x_char2.png,5,0.6439091
captcha_3s5x_char3.png,x,0.713451
captcha_3zn5_char0.png,3,0.65003747
captcha_3zn5_char1.png,z,0.7456338
captcha_3zn5_char2.png,n,0.6621024
captcha_3zn5_char3.png,5,0.66424096
captcha_5m5w_char0.png,5,0.65903825
captcha_5m5w_char1.png,m,0.70447105
captcha_5m5w_char2.png,5,0.6272491
captcha_5m5w_char3.png,w,0.71461886
captcha_7b89_char0.png,7,0.73333687
captcha_7b89_char1.png,b,0.6658708
captcha_7b89_char2.png,8,0.7303524
captcha_7b89_char3.png,9,0.6259141
captcha_7ux6_char0.png,7,0.6787392
captcha_7ux6_char1.png,u,0.61893725
captcha_7ux6_char2.png,x,0.7086558
captcha_7ux6_char3.png,6,0.57465357
captcha_8o1h_char0.png,8,0.7178113
captcha_8o1h_char1.png,o,0.80039656
captcha_8o1h_char2.png,1,0.8373848
captcha_8o1h_char3.png,h,0.6633797
captcha_aedl_char0.png,a,0.7157002
captcha_aedl_char1.png,e,0.78817576
captcha_aedl_char2.png,d,0.66691035
captcha_aedl_char3.png,f,0.57307243
captcha_baj4_char0.png,b,0.708226
captcha_baj4_char1.png,a,0.7193007
captcha_baj4_char2.png,j,0.5467181
captcha_baj4_char3.png,4,0.75221145
captcha_e3cr_char0.png,e,0.7957013
captcha_e3cr_char1.png,3,0.67002386
captcha_e3cr_char2.png,c,0.64591056
captcha_e3cr_char3.png,r,0.6928528
captcha_olyr_char0.png,o,0.79511434
captcha_olyr_char1.png,j,0.63806784
captcha_olyr_char2.png,y,0.71787184
captcha_olyr_char3.png,r,0.6243781
captcha_r98b_char0.png,r,0.6405462
captcha_r98b_char1.png,9,0.5872095
captcha_r98b_char2.png,8,0.71000147
captcha_r98b_char3.png,b,0.6766769
captcha_ro74_char0.png,r,0.6089207
captcha_ro74_char1.png,o,0.79550356
captcha_ro74_char2.png,7,0.7555541
captcha_ro74_char3.png,4,0.74631447
captcha_skrg_char0.png,s,0.6923523
captcha_skrg_char1.png,k,0.5842935
captcha_skrg_char2.png,r,0.6401578
captcha_skrg_char3.png,q,0.5067472
captcha_vz6l_char0.png,v,0.7007554
captcha_vz6l_char1.png,z,0.7016504
captcha_vz6l_char2.png,6,0.5923689
captcha_vz6l_char3.png,j,0.52647954
captcha_xo6e_char0.png,x,0.72069204
captcha_xo6e_char1.png,o,0.80267894
captcha_xo6e_char2.png,6,0.5827029
captcha_xo6e_char3.png,e,0.7934274
captcha_xxib_char0.png,x,0.69385004
captcha_xxib_char1.png,x,0.773014
captcha_xxib_char2.png,j,0.63542515
captcha_xxib_char3.png,b,0.69056535
captcha_y60n_char0.png,y,0.6917263
captcha_y60n_char1.png,6,0.5945864
captcha_y60n_char2.png,o,0.65944785
captcha_y60n_char3.png,n,0.65682787
captcha_z00u_char0.png,z,0.73477596
captcha_z00u_char1.png,0,0.6120508
captcha_z00u_char2.png,o,0.65441597
captcha_z00u_char3.png,u,0.6348602
